Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Class
0,0.004,0.004,0,0,0,0,0,0.004,0,0
0,0,0,0.004,0,0,0,0,0.004,0,0
0,0,0,0,0,0,0,0,0.002,0,0
0,0,0.004,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0.002,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0,0
0.002,0.002,0,0,0,0,0,0,0,0.002,0
0,0,0.004,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0,0,0
0.002,0.002,0.002,0,0,0,0,0,0.002,0,0
0.002,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0.002,0.002,0.002,0,0.002,0.004,0,0.002,0,0
0,0,0,0.002,0,0.002,0.002,0,0.002,0,0
0,0,0,0.002,0,0,0.002,0,0,0,0
0,0,0,0.002,0,0,0,0,0,0,0
0,0,0,0.002,0,0,0,0,0.002,0,0
0,0,0,0.002,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0,0,0
0,0.004,0.006,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0.002,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0.002,0,0,0,0,0.002,0,0
0,0.002,0,0.002,0,0,0,0,0.002,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.004,0,0.004,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0.002,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0.004,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0.002,0,0,0,0,0.002,0,0
0,0.002,0.002,0.002,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0.002,0,0,0.002,0
0,0.002,0,0,0,0,0.002,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0.002,0,0,0,0,0,0.002,0,0,0.006,0
0,0,0,0,0,0,0.004,0,0,0.004,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0,0.002,0,0,0,0.002,0.002,0,0,0.002,0
0,0.002,0,0,0,0.002,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0.002,0,0,0.002,0.002,0.002,0.002,0
0,0,0,0.002,0,0,0,0.002,0.002,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0.002,0,0,0.002,0.002,0.002,0.002,0
0,0.002,0,0.004,0,0,0,0,0.004,0,0
0,0,0,0.002,0,0,0.002,0,0.002,0,0
0,0,0,0,0,0,0.006,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0.002,0,0,0,0
0,0.004,0,0,0,0,0.002,0,0,0.002,0
0,0.002,0,0,0,0,0.002,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0.002,0,0.004,0.004,0,0.002,0.002,0
0,0,0.002,0.004,0,0.004,0,0,0.004,0,0
0,0.006,0.002,0.002,0,0.002,0,0,0.002,0,0
0,0.002,0.004,0.004,0,0.002,0.002,0,0.002,0,0
0,0.002,0.004,0.004,0,0,0,0,0.012,0,0
0,0.002,0,0.002,0,0,0.004,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0.002,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0.004,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0.002,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0.002,0
0,0,0.002,0.002,0,0,0,0,0,0.002,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.004,0,0,0
0,0.002,0,0,0,0,0.008,0.002,0,0.002,0
0,0,0,0,0,0,0.002,0,0,0.004,0
0,0,0,0,0,0,0,0,0,0.01,0
0,0,0,0,0,0,0,0,0,0.004,0
0,0.002,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0.002,0.002,0.002,0,0,0,0,0,0,0.002,0
0,0,0.002,0,0,0,0.002,0,0,0.002,0
0,0,0.002,0,0,0,0.002,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0.002,0,0.002,0
0,0,0,0,0,0,0.002,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0,0,0,0,0,0,0,0,0
0.002,0.002,0,0,0,0,0,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.004,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0.002,0,0,0.002,0
0,0.002,0.002,0,0,0,0,0,0,0.004,0
0,0.002,0.002,0.002,0,0,0,0,0,0,0
0,0,0.002,0.002,0,0,0.002,0,0,0.002,0
0,0,0,0.002,0,0,0,0,0,0,0
0,0,0.004,0.002,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.004,0,0,0,0,0,0,0,0
0,0,0.002,0.002,0,0,0.002,0,0,0.002,0
0,0,0,0.002,0,0,0.002,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.006,0.002,0,0,0.002,0,0,0,0
0,0,0.006,0.002,0,0,0.002,0,0,0,0
0,0,0.002,0.002,0,0,0.002,0,0.002,0.002,0
0,0,0.002,0.002,0,0,0.006,0,0.002,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0.002,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0.004,0.002,0,0,0.002,0,0,0.002,0
0,0,0.002,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0,0.002,0
0.002,0.002,0.002,0,0,0,0,0.002,0,0.002,0
0.002,0.002,0.002,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0.002,0.002,0,0,0.002,0.002,0,0.002,0
0,0.002,0.002,0.002,0,0,0.002,0,0,0.002,0
0.002,0.002,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0.002,0.002,0,0.012,0
0.002,0,0,0,0,0,0.006,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0.002,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0.002,0,0
0,0,0,0,0,0.002,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.002,0.002,0
0,0,0,0,0,0.002,0,0,0.002,0,0
0,0,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0.002,0.006,0,0.002,0,0
0,0.002,0.002,0,0,0.002,0.002,0,0.002,0,0
0,0.002,0.002,0,0,0.002,0,0,0.002,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0.002,0,0,0,0.002,0
0,0,0,0,0,0.002,0,0,0,0.002,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.004,0
0,0.002,0.004,0,0,0,0,0,0,0.006,0
0.002,0,0,0,0,0.002,0,0,0,0.002,0
0,0.002,0.002,0.004,0.002,0.004,0,0,0.002,0,0
0,0,0.002,0,0.002,0,0,0,0.002,0,0
0,0.002,0.002,0,0,0,0,0,0.002,0,0
0,0.002,0,0,0,0.002,0.002,0,0,0.002,0
0,0.002,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0.002,0
0,0.002,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0.004,0,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0.002,0.002,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.004,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0.002,0.002,0,0,0.002,0
0,0,0,0,0,0.002,0.002,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0.002,0,0,0,0,0,0,0.002,0,0,0
0.002,0.002,0.002,0,0,0,0.002,0.002,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0.002,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0.002,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.002,0,0,0.002,0
0,0,0,0,0,0,0.002,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0.002,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0.002,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.002,0.002,0,0.002,0.002,0
0.002,0,0.002,0.002,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
